DrugBank ID,DB00997,DB00526,DB00544,DB00853,DB00515,DB00441,DB00317,DB08865,DB01229,DB00987,DB00530,DB00675,DB00619,DB00072,DB00254,DB00188,DB00813,DB01698,DB00398,DB01259,DB00958,DB09078,DB01248,DB01101,DB01234,DB08881,DB09330,DB08916,DB00773,DB00563,DB00541,DB00877,DB00002,DB12257,DB01590,DB06287,DB11651,DB00661,DB00136,DB00361,DB00947,DB00248,DB01200,DB00945,DB08899,DB00305,DB00396,DB01268,DB00635,DB01128,DB00252,DB01262,DB01042,DB04115,DB06641,DB09053,DB04690,DB00531,DB09063,DB01204,DB01217,DB00914,DB02546,DB11885,DB09074,DB07232,DB16101,DB00860,DB00818,DB00694,DB12565,DB15588
DB00398,0.5,0.5,0.4008918628686366,0.5,0.5,0.5,0.75,0.75,0.4008918628686366,0.4743416490252569,0.75,0.25,0.75,0.4743416490252569,0.0,0.5,0.0,0.0,1.0,0.75,0.5,1.0,0.5,0.5,0.0,0.5303300858899106,0.75,0.75,0.5,0.35355339059327373,0.5,0.4330127018922194,0.5,0.685106631093438,0.5303300858899106,0.75,0.685106631093438,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.5,0.0,1.0,0.0,0.15811388300841897,0.0,0.5,0.5,0.685106631093438,0.685106631093438,0.75,0.685106631093438,0.5,0.75,0.5,0.25,0.0,0.5,0.685106631093438,0.5,0.5,0.685106631093438,0.0,0.0,0.4743416490252569,0.685106631093438,0.685106631093438
DB01259,0.5,0.5,0.4008918628686366,0.5,0.5,0.5,0.75,0.75,0.4008918628686366,0.4743416490252569,0.75,0.25,0.75,0.4743416490252569,0.0,0.5,0.0,0.0,0.75,1.0,0.5,0.75,0.5,0.5,0.0,0.5303300858899106,0.75,0.75,0.5,0.35355339059327373,0.5,0.4330127018922194,0.5,0.6731917331613781,0.5303300858899106,0.75,0.6731917331613781,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.75,0.0,0.15811388300841897,0.0,0.5,0.5,0.6731917331613781,0.6731917331613781,0.75,0.6731917331613781,0.5,0.75,0.5,0.25,0.0,0.5,0.6731917331613781,0.5,0.5,0.6731917331613781,0.0,0.0,0.4743416490252569,0.6731917331613781,0.6731917331613781
DB00958,0.5,1.0,0.4008918628686366,0.5,1.0,0.5,0.5,0.5,0.4008918628686366,0.6324555320336759,0.5,0.25,0.5,0.6324555320336759,0.0,0.75,0.0,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.35355339059327373,0.5,0.5,0.5,0.35355339059327373,0.5,0.2886751345948129,0.5,0.6493619372972587,0.35355339059327373,0.5,0.6493619372972587,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.5,0.0,0.15811388300841897,0.0,0.5,0.5,0.6493619372972587,0.6493619372972587,0.5,0.6493619372972587,0.5,0.5,0.5,0.25,0.0,0.75,0.6493619372972587,0.75,0.75,0.6493619372972587,0.0,0.0,0.6324555320336759,0.6493619372972587,0.6493619372972587
DB09078,0.5,0.5,0.4008918628686366,0.5,0.5,0.5,0.75,0.75,0.4008918628686366,0.4743416490252569,0.75,0.25,0.75,0.4743416490252569,0.0,0.5,0.0,0.0,1.0,0.75,0.5,1.0,0.5,0.5,0.0,0.5303300858899106,0.75,0.75,0.5,0.35355339059327373,0.5,0.4330127018922194,0.5,0.685106631093438,0.5303300858899106,0.75,0.685106631093438,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.5,0.0,1.0,0.0,0.15811388300841897,0.0,0.5,0.5,0.685106631093438,0.685106631093438,0.75,0.685106631093438,0.5,0.75,0.5,0.25,0.0,0.5,0.685106631093438,0.5,0.5,0.685106631093438,0.0,0.0,0.4743416490252569,0.685106631093438,0.685106631093438
DB01248,0.5,0.5,0.4008918628686366,0.5,0.5,0.5,0.5,0.5,0.9354143466934853,0.4743416490252569,0.5,0.25,0.5,0.4743416490252569,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.35355339059327373,0.5,0.5,0.75,0.35355339059327373,0.75,0.2886751345948129,0.5,0.6255321414331391,0.35355339059327373,0.5,0.6255321414331391,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.5,0.0,0.15811388300841897,0.0,0.5,0.5,0.6255321414331391,0.6255321414331391,0.5,0.6255321414331391,0.5,0.5,0.5,0.25,0.0,0.5,0.6255321414331391,0.5,0.5,0.6255321414331391,0.0,0.0,0.4743416490252569,0.6255321414331391,0.6255321414331391
DB01101,0.5,0.5,0.9354143466934853,0.5,0.5,1.0,0.5,0.5,0.4008918628686366,0.7905694150420949,0.5,0.25,0.5,0.4743416490252569,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.35355339059327373,0.5,0.5,0.5,0.5303300858899106,0.5,0.2886751345948129,0.5,0.6493619372972587,0.35355339059327373,0.5,0.6493619372972587,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.5,0.0,0.15811388300841897,0.0,1.0,0.5,0.6493619372972587,0.6493619372972587,0.5,0.6493619372972587,0.5,0.5,0.5,0.25,0.0,0.5,0.6493619372972587,0.5,0.5,0.6493619372972587,0.0,0.0,0.4743416490252569,0.6493619372972587,0.6493619372972587
DB01234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055901699437494755,0.0,0.0,0.06338656910463875,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.2053959590644373,0.0,0.34852349387208653,0.0,0.0,0.34852349387208653,0.035355339059327376,0.11180339887498948,0.0,0.0,0.0,0.0,0.048162097430095176,0.0,0.0,0.0,0.0,0.11180339887498948,0.0,0.0,0.0,0.0,0.34852349387208653,0.34852349387208653,0.0,0.34852349387208653,0.0,0.0,0.0,0.0,0.022821773229381927,0.0,0.34852349387208653,0.0,0.0,0.34852349387208653,0.9295260575093011,0.0,0.0,0.34852349387208653,0.34852349387208653
DB08881,0.35355339059327373,0.35355339059327373,0.2834733547569204,0.35355339059327373,0.35355339059327373,0.35355339059327373,0.5303300858899106,0.5303300858899106,0.2834733547569204,0.33541019662496846,0.5303300858899106,0.17677669529663687,0.5303300858899106,0.33541019662496846,0.0,0.35355339059327373,0.0,0.0,0.5303300858899106,0.5303300858899106,0.35355339059327373,0.5303300858899106,0.35355339059327373,0.35355339059327373,0.0,0.9999999999999999,0.5303300858899106,0.5303300858899106,0.35355339059327373,0.24999999999999994,0.35355339059327373,0.3061862178478973,0.35355339059327373,0.49708120236939785,0.37499999999999994,0.5303300858899106,0.49708120236939785,0.0,0.0,0.35355339059327373,0.17677669529663687,0.0,0.0,0.0,0.17677669529663687,0.35355339059327373,0.11180339887498948,0.5303300858899106,0.0,0.11180339887498948,0.0,0.35355339059327373,0.35355339059327373,0.49708120236939785,0.49708120236939785,0.5303300858899106,0.49708120236939785,0.35355339059327373,0.5303300858899106,0.35355339059327373,0.17677669529663687,0.0,0.35355339059327373,0.49708120236939785,0.35355339059327373,0.35355339059327373,0.49708120236939785,0.0,0.0,0.33541019662496846,0.49708120236939785,0.49708120236939785
DB09330,0.5,0.5,0.4008918628686366,0.5,0.5,0.5,1.0,0.75,0.4008918628686366,0.4743416490252569,1.0,0.25,0.75,0.4743416490252569,0.0,0.5,0.0,0.0,0.75,0.75,0.5,0.75,0.5,0.5,0.0,0.5303300858899106,1.0,1.0,0.5,0.35355339059327373,0.5,0.4330127018922194,0.5,0.6910640800594678,0.5303300858899106,0.75,0.6910640800594678,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.75,0.0,0.15811388300841897,0.0,0.5,0.5,0.6910640800594678,0.6910640800594678,0.75,0.6910640800594678,0.5,0.75,0.5,0.25,0.0,0.5,0.6910640800594678,0.5,0.5,0.6910640800594678,0.0,0.0,0.4743416490252569,0.6910640800594678,0.6910640800594678
DB08916,0.5,0.5,0.4008918628686366,0.5,0.5,0.5,1.0,0.75,0.4008918628686366,0.4743416490252569,1.0,0.25,0.75,0.4743416490252569,0.0,0.5,0.0,0.0,0.75,0.75,0.5,0.75,0.5,0.5,0.0,0.5303300858899106,1.0,1.0,0.5,0.35355339059327373,0.5,0.4330127018922194,0.5,0.6910640800594678,0.5303300858899106,0.75,0.6910640800594678,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.75,0.0,0.15811388300841897,0.0,0.5,0.5,0.6910640800594678,0.6910640800594678,0.75,0.6910640800594678,0.5,0.75,0.5,0.25,0.0,0.5,0.6910640800594678,0.5,0.5,0.6910640800594678,0.0,0.0,0.4743416490252569,0.6910640800594678,0.6910640800594678
