,DB00997,DB00526,DB00544,DB00853,DB00515,DB00441,DB00317,DB08865,DB01229,DB00987,DB00530,DB00675,DB00619,DB00072,DB00254,DB00188,DB00813,DB01698,DB00398,DB01259,DB00958,DB09078,DB01248,DB01101,DB01234,DB08881,DB09330,DB08916,DB00773,DB00563,DB00541,DB00877,DB00002,DB12257,DB01590,DB06287,DB11651,DB00661,DB00136,DB00361,DB00947,DB00248,DB01200,DB00945,DB08899,DB00305,DB00396,DB01268,DB00635,DB01128,DB00252,DB01262,DB01042,DB04115,DB06641,DB09053,DB04690,DB00531,DB09063,DB01204,DB01217,DB00914,DB02546,DB11885,DB09074,DB07232,DB16101,DB00860,DB00818,DB00694,DB12565,DB15588
DB00530,0.19042088613053396,0.062197041357112286,0.06692744814102546,0.12892765578234916,0.0,0.11531640100361064,0.5837637722948997,0.16947980485980965,0.12583221237211148,0.11990028442779209,0.9999999999999999,0.24655683636076894,0.2352002315818805,0.424739161670361,0.13644420572745383,0.20628424925175867,0.1614429614050549,0.1680848856254594,0.22467702680655838,0.44387735445735277,0.03183035070396152,0.3038400702934085,0.10823160722843975,0.2203970724177368,0.07939884455672182,0.20889004832671831,0.2789472175017627,0.44086798176245545,0.14363791428130826,0.17237710541432058,0.1915496600194902,0.1021054940485262,0.424739161670361,0.0,0.113341283243814,0.09735376873170823,0.21252319110217677,0.2127659574468085,0.07728116040079154,0.19253449766802577,0.14819897956091455,0.17560081436822503,0.17301929201165325,0.2084219669613948,0.15456232080158308,0.10314212462587935,0.09002982732126874,0.15456232080158308,0.08251369970070348,0.1856558243265828,0.12439408271422457,0.11678545896676293,0.10314212462587934,0.19355957712870311,0.14793410181646136,0.16808488562545934,0.18032487743269374,0.0280717307022173,0.22664461422018223,0.13099062926556154,0.225140756973417,0.1653953539259914,0.2245738456177384,0.3313644996238163,0.1786474002526241,0.18224227560060588,0.12892765578234916,0.08170073702056668,0.21226474130316747,0.1768872844193062,0.2655273953168417,0.06127555276542501
DB00675,0.16048217085700786,0.07207499701564471,0.07755667343294811,0.1494035761667992,0.0,0.1336306209562122,0.19639610121239312,0.13093073414159542,0.236951850387359,0.1389425035941821,0.24655683636076894,1.0,0.2096569673443837,0.42497214943205786,0.18070158058105024,0.23904572186687872,0.32071349029490925,0.173137462139922,0.21302148074901783,0.15826851764978614,0.03688555567816587,0.1980534816610477,0.21500681238973984,0.20896355709565745,0.11501092655705902,0.1760475392542646,0.30304576336566325,0.2161438102702613,0.10403129732205986,0.2663380569710851,0.17074694419062764,0.11832159566199234,0.42497214943205786,0.0,0.1313418206606237,0.11281521496355323,0.15672078199387574,0.22190115272469205,0.089554732567929,0.17162482629699222,0.15026857675938213,0.2645360014558559,0.14581652331529782,0.3105295017040594,0.13433209885189348,0.1673320053068151,0.13041013273932528,0.2238868314198225,0.11952286093343936,0.1673320053068151,0.2162249910469341,0.13533299049019168,0.2390457218668787,0.1246111965698067,0.14285714285714285,0.23806401044239275,0.23218173010628607,0.09759000729485331,0.18182745801939793,0.15179418517972906,0.11595420713048966,0.25555062599997586,0.2602400194529422,0.15811388300841894,0.1840174824912944,0.1583891032045364,0.20916500663351886,0.1183452670827877,0.2459760185072363,0.14348601079588785,0.4733810683311508,0.14201432049934523
DB00619,0.16192236278835684,0.10577717706958902,0.08536655898367082,0.21926450482675727,0.05063696835418334,0.17650452162436564,0.2882306768491569,0.19215378456610463,0.2407501692775223,0.18352066281439183,0.2352002315818805,0.2096569673443837,1.0000000000000002,0.4870441010647471,0.16574838603294897,0.33328204733667116,0.29417420270727607,0.14292918378096398,0.32999840028864064,0.24679184968430512,0.08119979429411503,0.27451509933939783,0.21036248913874006,0.2044497731087957,0.16878989451394447,0.25836715231943325,0.4150996173302168,0.27395615534602447,0.13740858372430334,0.2931580538930053,0.20047040441303524,0.1364382080481293,0.4870441010647471,0.0,0.1445678209772805,0.14191497503737985,0.2628608309814103,0.180923255062985,0.08214400968169071,0.2015011073736305,0.1732766974979083,0.19411635536525473,0.21400015046890875,0.20254787341673336,0.18071682129971955,0.1754116038614059,0.13397282541141675,0.21357442517239583,0.1578704434752653,0.2455762454059682,0.13222147133698628,0.2184759836322133,0.2192645048267573,0.14630339119189104,0.10482848367219183,0.22233428588149948,0.2555622163859946,0.09548198320525773,0.2816747403312185,0.20049566370935082,0.2127178149057585,0.18752289237539818,0.26257545381445874,0.19889806323953876,0.2869428206737056,0.21308068216216644,0.21926450482675727,0.15631503171567185,0.18049705127885604,0.1504142093990467,0.26052505285945304,0.17368336857296873
DB00072,0.537078568120175,0.3323340504622175,0.3188075408103868,0.41212312956417035,0.03919001878945916,0.4813666914889585,0.47683435477592595,0.4367047308591401,0.48701184159074806,0.47945915852711485,0.424739161670361,0.42497214943205786,0.4870441010647471,1.000000000000005,0.4428695238174922,0.44800208437328654,0.5110003767007413,0.43369567642955364,0.4448683598095146,0.4526272900590375,0.2922737253358985,0.5106144304109218,0.4864861847184298,0.5123703926990207,0.46094926861887675,0.4511022590343575,0.5168611845275891,0.5191710962126942,0.41863233489870527,0.42556317518225534,0.5144035477137098,0.4658069736957199,1.000000000000005,0.004571216621155248,0.46885957302630704,0.48030494072413077,0.40929936442906,0.38806623562346954,0.3487521211703232,0.5063731687516981,0.4423753596712589,0.4507037365010725,0.5052501393021425,0.49360761761009264,0.43533467903031664,0.42731511943830064,0.43167667128454956,0.4516824347101756,0.45834556684077943,0.4350727312889204,0.37716503674157825,0.4713954279535346,0.42343631351299077,0.36395412514069087,0.29593515133177845,0.45008363721231687,0.5098587731269667,0.22609087957141835,0.44419465435616273,0.38833997290564604,0.32769410245556274,0.37837888838848605,0.4513020280939207,0.4367609786613888,0.49889515982771804,0.4840269771785389,0.41939589067412636,0.4659916056709736,0.42240817742796605,0.5199722709021419,0.46471140895209734,0.3975010812110915
DB00254,0.33303977684016434,0.14245072057454744,0.12262786789699316,0.236227795630767,0.054554472558998104,0.23241742005034205,0.08625819491779428,0.17251638983558856,0.20173664619648224,0.24165612634006073,0.13644420572745383,0.18070158058105024,0.16574838603294897,0.4428695238174922,1.0,0.15118578920369088,0.21128856368212914,0.23953506879020425,0.13098420799889596,0.15640281177246362,0.11664236870396087,0.20876670019176635,0.1841426273927739,0.20191135200894694,0.2182178902359924,0.15657502514382476,0.19166296949998196,0.17087668565033004,0.2302830932359191,0.19301216174448899,0.17548350532571264,0.16035674514745465,0.4428695238174922,0.0,0.16873159278662866,0.1656353372172283,0.14159846508095775,0.1559362351170901,0.12389865694583803,0.16281760623877714,0.2036532699906392,0.22522130823072542,0.23055616708169396,0.21821789023599242,0.17699808135119718,0.2456769074559977,0.18557687223952257,0.21239769762143662,0.207880460155075,0.15118578920369088,0.19943100880436643,0.19258222162991087,0.1889822365046136,0.07881104062391008,0.06776309271789384,0.17109647770728875,0.22026692946430576,0.051434449987363975,0.15971914124998496,0.2640084484055256,0.09166984970282112,0.17677669529663687,0.1800205749557739,0.12500000000000003,0.1636634176769943,0.27130475811714666,0.21260501606769033,0.24325638628366392,0.25928148942086576,0.3403069548648863,0.20583232685540795,0.18712029714127995
DB00188,0.1678362716593378,0.09045340337332908,0.09733285267845751,0.25,0.0,0.17888543819998318,0.1460593486680443,0.16431676725154984,0.24399771253216745,0.18599622199011082,0.20628424925175867,0.23904572186687872,0.33328204733667116,0.44800208437328654,0.15118578920369088,1.0000000000000002,0.2906888370749727,0.14485719366802965,0.2772413120334688,0.21517753103661563,0.06172133998483677,0.22093790829559762,0.2248595066987584,0.19425717247145285,0.13471506281091267,0.22093790829559762,0.253546276418555,0.180838886035893,0.12185435916898847,0.3342516087186933,0.17142857142857143,0.11313708498984762,0.44800208437328654,0.0,0.1098884511589512,0.12135597524338358,0.2060488785479727,0.16502739940140695,0.1311220136214372,0.17230995806825714,0.12572371141874245,0.18727643676692468,0.22874785549890697,0.3175426480542942,0.16858544608470494,0.12000000000000001,0.13093073414159542,0.18731716231633883,0.14,0.2,0.21105794120443452,0.18116432546313532,0.3,0.10425720702853739,0.09561828874675149,0.21728579050204447,0.21368288971859814,0.05443310539518174,0.21974010622941434,0.17780017780026672,0.16977493752543305,0.29398736610366677,0.29938207967349956,0.15118578920369088,0.23094010767585033,0.1987767469347238,0.24999999999999997,0.1386206560167344,0.2743977362280141,0.15434872662825794,0.2574383611739353,0.21783245945486834
DB00813,0.2064113218862204,0.2022599587389726,0.10882143751650175,0.22360679774997896,0.0,0.19999999999999998,0.22453655975512463,0.1632993161855452,0.20459830184114203,0.20795009796401454,0.1614429614050549,0.32071349029490925,0.29417420270727607,0.5110003767007413,0.21128856368212914,0.2906888370749727,1.0,0.16195526603578322,0.19926334924652145,0.16655247229446118,0.10350983390135313,0.2058467423981546,0.2011204569461973,0.23890473351968813,0.25819888974716115,0.18526206815833912,0.2645751311064591,0.22056438662814234,0.1556997888323046,0.2283750695977849,0.2555506259999759,0.18973665961010278,0.5110003767007413,0.0,0.1842885350501854,0.19598237397554635,0.2303696495604325,0.18450624160577703,0.16754156331667822,0.27291855210387267,0.20080483222562473,0.26648544566940835,0.2557478773014275,0.32274861218395146,0.18848425873126298,0.22360679774997896,0.21957751641342,0.23036964956043252,0.22360679774997896,0.22360679774997896,0.23596995186213465,0.20254787341673336,0.30745934690622106,0.13987572123604708,0.18708286933869706,0.28342171556262064,0.2823419577959951,0.12171612389003693,0.18898223650461363,0.17038855027411945,0.16269784336399212,0.35856858280031806,0.3042903097250923,0.1267731382092775,0.3442651863295482,0.24693239916239743,0.25155764746872633,0.22140372138502382,0.23008949665421116,0.19174124721184263,0.2435440935235262,0.22140372138502382
DB01698,0.2735132772181132,0.1364877726081535,0.14686837386151166,0.1358036190637778,0.0,0.24293289905367485,0.16529490122682156,0.14876541110413938,0.1518722901902783,0.2946878675818802,0.1680848856254594,0.173137462139922,0.14292918378096398,0.43369567642955364,0.23953506879020425,0.14485719366802965,0.16195526603578322,0.9999999999999998,0.1434299943928958,0.2547549162829094,0.13969968905677815,0.1666898196384623,0.14929070342064849,0.298982706574824,0.19165973694608274,0.20002778356615472,0.19894334452942297,0.22325977446487583,0.2679242576717936,0.1344965278278173,0.1552041360728889,0.15364425591947517,0.43369567642955364,0.0,0.16166853474090326,0.1464940500716952,0.23742458651628184,0.14940878722263054,0.11871229325814092,0.16900228154620142,0.1951284001462312,0.15413829017161884,0.1932920056967178,0.18294793072126087,0.16958899036877273,0.16296434287653336,0.15805215593871993,0.16958899036877276,0.18107149208503706,0.16296434287653336,0.1364877726081535,0.24602771043141894,0.15843755557440742,0.15102406429820703,0.10821091383745125,0.180327868852459,0.21104661640575817,0.07392212709545729,0.13773000775113897,0.2529571274000506,0.15370700628187056,0.14518017554874818,0.14784425419091457,0.15398682993655988,0.15681251204679497,0.15996800959680113,0.3395090476594445,0.19721624229023174,0.18632102821336105,0.2639547899689282,0.21514499158934372,0.19721624229023174
DB00398,0.13294613760468715,0.0597081434026532,0.1284985132406471,0.19802950859533483,0.05716619504750295,0.15498260496951666,0.2711630722733202,0.23500799597021085,0.19629491013896927,0.13812277665483924,0.22467702680655838,0.21302148074901783,0.32999840028864064,0.4448683598095146,0.13098420799889596,0.2772413120334688,0.19926334924652145,0.1434299943928958,1.0,0.27861365863190496,0.061113233135214086,0.4192921601778092,0.17811527045817818,0.23081191443384608,0.15244318679334118,0.25522131489084043,0.2510482226267169,0.30928058136168074,0.1378900506653384,0.20225236112205355,0.16973957879600124,0.09801960588196071,0.4448683598095146,0.0,0.09520505742697934,0.12016032071277437,0.1854716280248858,0.1429762897859917,0.11128297681493146,0.1706122816116986,0.19561932335813415,0.1517165212272521,0.15099608472228407,0.22866478019001182,0.352396093247283,0.1386206560167344,0.12964074471043285,0.20401879082737434,0.1386206560167344,0.3960590171906697,0.1194162868053064,0.1345345587992625,0.19802950859533483,0.12387602085230007,0.09467621366623016,0.25100249018756765,0.15387460962256405,0.08084520834544431,0.21757512627648798,0.15089863644835708,0.16810223724982593,0.13231403100624076,0.26948402781814773,0.22454435656953595,0.19055398349167646,0.17494960673627816,0.14852213144650112,0.1372549019607843,0.1698089027028311,0.13584712216226488,0.25490196078431365,0.15686274509803919
DB01259,0.19446320144486856,0.09981302570118993,0.13425540338526365,0.12414088329035519,0.047781848256749665,0.16655247229446116,0.4835183081723996,0.2568691012165873,0.12620871481070603,0.1731730146489101,0.44387735445735277,0.15826851764978614,0.24679184968430512,0.4526272900590375,0.15640281177246362,0.21517753103661563,0.16655247229446118,0.2547549162829094,0.27861365863190496,1.0000000000000002,0.07662141663581955,0.2590368113879793,0.1240633679014107,0.2250757317768682,0.1114909792657492,0.35046156834844255,0.22382548415701317,0.46259573791221065,0.17288123177163914,0.15368255536133624,0.1536982364547255,0.09363291775690447,0.4526272900590375,0.0,0.10231237042710944,0.08927548420311772,0.26354213716778885,0.17072205940667412,0.07751239328464378,0.1544884639589598,0.16350664613972232,0.15499108186477586,0.1766922007349884,0.19112739302699866,0.1705272652262163,0.11586482440433152,0.09029920547884623,0.24803965851086007,0.11586482440433152,0.24828176658071033,0.12476628212648741,0.16867424537771253,0.1448310305054144,0.20708130831852892,0.09891782353111633,0.19481258303987184,0.19292205580874422,0.09009831711993146,0.26579276243645306,0.18919089532549122,0.16057912918074005,0.19906827984171396,0.1801966342398629,0.23460421765869544,0.20705467577924852,0.16450880628040013,0.2275916193656512,0.11472327120137266,0.19870653453128087,0.18451321063618933,0.24583558114579848,0.08194519371526618
